date ,load,humidity,temp,date1
1/1/2017 0:00,6807.00,100,274.75,1/1/2017
1/1/2017 1:00,6601.00,100,274.32,1/1/2017
1/1/2017 2:00,6427.00,100,274.47,1/1/2017
1/1/2017 3:00,6336.00,100,274.73,1/1/2017
1/1/2017 4:00,6335.00,100,273.48,1/1/2017
1/1/2017 5:00,6460.00,93,273.99,1/1/2017
1/1/2017 6:00,6661.00,93,273.84,1/1/2017
1/1/2017 7:00,6907.00,100,273.54,1/1/2017
1/1/2017 8:00,7094.00,100,273.35,1/1/2017
1/1/2017 9:00,7263.00,100,273.54,1/1/2017
1/1/2017 10:00,7339.00,100,273.74,1/1/2017
1/1/2017 11:00,7401.00,100,273.94,1/1/2017
1/1/2017 12:00,7404.00,93,274.14,1/1/2017
1/1/2017 13:00,7316.00,93,274.13,1/1/2017
1/1/2017 14:00,7327.00,93,273.73,1/1/2017
1/1/2017 15:00,7535.00,86,273.98,1/1/2017
1/1/2017 16:00,8122.00,86,273.86,1/1/2017
1/1/2017 17:00,8429.00,86,274.15,1/1/2017
1/1/2017 18:00,8318.00,42,274.58,1/1/2017
1/1/2017 19:00,8128.00,55,274.99,1/1/2017
1/1/2017 20:00,8005.00,51,275.41,1/1/2017
1/1/2017 21:00,7687.00,51,275.55,1/1/2017
1/1/2017 22:00,7330.00,51,275.41,1/1/2017
1/1/2017 23:00,6989.00,51,275.13,1/1/2017
1/2/2017 0:00,6749.00,47,274.43,1/2/2017
1/2/2017 1:00,6635.00,51,273.44,1/2/2017
1/2/2017 2:00,6607.00,47,273.01,1/2/2017
1/2/2017 3:00,6617.00,47,273.14,1/2/2017
1/2/2017 4:00,6737.00,47,272.47,1/2/2017
1/2/2017 5:00,7039.00,43,271.95,1/2/2017
1/2/2017 6:00,7570.00,43,271.79,1/2/2017
1/2/2017 7:00,8171.00,43,271.55,1/2/2017
1/2/2017 8:00,8500.00,100,271.35,1/2/2017
1/2/2017 9:00,8649.00,100,270.76,1/2/2017
1/2/2017 10:00,8744.00,100,270.75,1/2/2017
1/2/2017 11:00,8765.00,100,270.36,1/2/2017
1/2/2017 12:00,8816.00,100,270.16,1/2/2017
1/2/2017 13:00,8828.00,100,270.55,1/2/2017
1/2/2017 14:00,8890.00,100,270.55,1/2/2017
1/2/2017 15:00,9009.00,100,269.94,1/2/2017
1/2/2017 16:00,9468.00,39,269.41,1/2/2017
1/2/2017 17:00,9734.00,36,269.55,1/2/2017
1/2/2017 18:00,9591.00,42,269.84,1/2/2017
1/2/2017 19:00,9369.00,39,270.71,1/2/2017
1/2/2017 20:00,9068.00,100,272.15,1/2/2017
1/2/2017 21:00,8712.00,100,272.29,1/2/2017
1/2/2017 22:00,8210.00,100,272.45,1/2/2017
1/2/2017 23:00,7724.00,100,272.6,1/2/2017
1/3/2017 0:00,7349.00,100,272.46,1/3/2017
1/3/2017 1:00,7164.00,100,271.88,1/3/2017
1/3/2017 2:00,7061.00,100,271.3,1/3/2017
1/3/2017 3:00,7010.00,39,270.31,1/3/2017
1/3/2017 4:00,7117.00,36,269.81,1/3/2017
1/3/2017 5:00,7390.00,39,269.31,1/3/2017
1/3/2017 6:00,7844.00,42,268.64,1/3/2017
1/3/2017 7:00,8421.00,42,269.16,1/3/2017
1/3/2017 8:00,8649.00,39,268.97,1/3/2017
1/3/2017 9:00,8715.00,42,268.97,1/3/2017
1/3/2017 10:00,8708.00,39,268.15,1/3/2017
1/3/2017 11:00,8714.00,45,264.47,1/3/2017
1/3/2017 12:00,8645.00,42,264.54,1/3/2017
1/3/2017 13:00,8600.00,42,265.04,1/3/2017
1/3/2017 14:00,8531.00,84,264.39,1/3/2017
1/3/2017 15:00,8620.00,42,266.65,1/3/2017
1/3/2017 16:00,9031.00,42,267.28,1/3/2017
1/3/2017 17:00,9162.00,45,267.7,1/3/2017
1/3/2017 18:00,8873.00,42,267.98,1/3/2017
1/3/2017 19:00,8559.00,39,269.14,1/3/2017
1/3/2017 20:00,8281.00,42,270.02,1/3/2017
1/3/2017 21:00,7975.00,39,271.02,1/3/2017
1/3/2017 22:00,7588.00,36,271.31,1/3/2017
1/3/2017 23:00,7145.00,36,271.31,1/3/2017
1/4/2017 0:00,6804.00,36,270.75,1/4/2017
1/4/2017 1:00,6646.00,36,270.75,1/4/2017
1/4/2017 2:00,6547.00,36,269.45,1/4/2017
1/4/2017 3:00,6537.00,39,269,1/4/2017
1/4/2017 4:00,6571.00,36,268.66,1/4/2017
1/4/2017 5:00,6746.00,39,268.32,1/4/2017
1/4/2017 6:00,7124.00,36,267.65,1/4/2017
1/4/2017 7:00,7478.00,39,265.21,1/4/2017
1/4/2017 8:00,7831.00,42,264.89,1/4/2017
1/4/2017 9:00,8105.00,39,264.82,1/4/2017
1/4/2017 10:00,8184.00,83,264.6,1/4/2017
1/4/2017 11:00,8175.00,100,264.55,1/4/2017
1/4/2017 12:00,8174.00,39,264.67,1/4/2017
1/4/2017 13:00,8146.00,100,264.56,1/4/2017
1/4/2017 14:00,8198.00,42,264.39,1/4/2017
1/4/2017 15:00,8359.00,100,264.94,1/4/2017
1/4/2017 16:00,8823.00,100,268.87,1/4/2017
1/4/2017 17:00,9063.00,100,269.15,1/4/2017
1/4/2017 18:00,8900.00,100,269.41,1/4/2017
1/4/2017 19:00,8669.00,43,270.85,1/4/2017
1/4/2017 20:00,8406.00,43,272.04,1/4/2017
1/4/2017 21:00,8138.00,43,273.02,1/4/2017
1/4/2017 22:00,7790.00,40,273.61,1/4/2017
1/4/2017 23:00,7404.00,43,273.62,1/4/2017
1/5/2017 0:00,7108.00,43,273.48,1/5/2017
1/5/2017 1:00,6944.00,40,272.18,1/5/2017
1/5/2017 2:00,6824.00,43,270.89,1/5/2017
1/5/2017 3:00,6838.00,43,271.01,1/5/2017
1/5/2017 4:00,6889.00,47,270.17,1/5/2017
1/5/2017 5:00,7014.00,47,269.32,1/5/2017
1/5/2017 6:00,7258.00,47,269.49,1/5/2017
1/5/2017 7:00,7620.00,100,268.79,1/5/2017
1/5/2017 8:00,7933.00,100,264.52,1/5/2017
1/5/2017 9:00,8263.00,73,263.96,1/5/2017
1/5/2017 10:00,8407.00,100,264.37,1/5/2017
1/5/2017 11:00,8480.00,79,263.69,1/5/2017
1/5/2017 12:00,8379.00,79,263.74,1/5/2017
1/5/2017 13:00,8323.00,85,263.61,1/5/2017
1/5/2017 14:00,8257.00,79,264,1/5/2017
1/5/2017 15:00,8370.00,85,264.12,1/5/2017
1/5/2017 16:00,8821.00,92,264.13,1/5/2017
1/5/2017 17:00,9250.00,92,264.53,1/5/2017
1/5/2017 18:00,9095.00,77,265.43,1/5/2017
1/5/2017 19:00,8880.00,100,267.18,1/5/2017
1/5/2017 20:00,8648.00,64,268.13,1/5/2017
1/5/2017 21:00,8334.00,59,269.08,1/5/2017
1/5/2017 22:00,7828.00,51,271.47,1/5/2017
1/5/2017 23:00,7388.00,51,271.46,1/5/2017
1/6/2017 0:00,7114.00,51,270.63,1/6/2017
1/6/2017 1:00,6976.00,100,267.26,1/6/2017
1/6/2017 2:00,6933.00,77,266.59,1/6/2017
1/6/2017 3:00,6964.00,100,265.72,1/6/2017
1/6/2017 4:00,7129.00,83,265.72,1/6/2017
1/6/2017 5:00,7547.00,83,265.54,1/6/2017
1/6/2017 6:00,8262.00,83,265.72,1/6/2017
1/6/2017 7:00,9035.00,69,265.33,1/6/2017
1/6/2017 8:00,9263.00,83,265.58,1/6/2017
1/6/2017 9:00,9277.00,100,265.61,1/6/2017
1/6/2017 10:00,9234.00,59,265.88,1/6/2017
1/6/2017 11:00,9204.00,64,265.83,1/6/2017
1/6/2017 12:00,9141.00,100,265.49,1/6/2017
1/6/2017 13:00,9070.00,51,265.12,1/6/2017
1/6/2017 14:00,9014.00,55,264.89,1/6/2017
1/6/2017 15:00,9107.00,100,265.89,1/6/2017
1/6/2017 16:00,9484.00,51,269.92,1/6/2017
1/6/2017 17:00,9694.00,47,270.48,1/6/2017
1/6/2017 18:00,9534.00,51,271.05,1/6/2017
1/6/2017 19:00,9255.00,55,272.13,1/6/2017
1/6/2017 20:00,8982.00,44,273.15,1/6/2017
